Time,Venue,Code,RaceNo,RunnerNo,RunnerName,Type,Market,Bookie,Odds
6/13/2025 17:07,MILDURA,Harness,6,7,CAVALRY,CASH,Fixed Win,TAB,7.5
6/13/2025 17:07,MILDURA,Harness,6,7,CAVALRY,CASH,Fixed Win,Betr,8
6/13/2025 17:06,MILDURA,Harness,6,10,CRUZ WITH ROME,CASH,Fixed Win,Betr,9.5
6/13/2025 17:06,ALBION PARK,Harness,1,2,ALLNIGHT DANCER,CASH,Fixed Win,Sportsbet,34
6/13/2025 17:05,MILDURA,Harness,6,4,PUNTO CALIENTE,CASH,Fixed Win,Betr,10
6/13/2025 17:05,MILDURA,Harness,6,10,CRUZ WITH ROME,CASH,Fixed Win,TAB,11
6/13/2025 17:05,MILDURA,Harness,6,6,DAYLIGHT,CASH,Fixed Win,TAB,126
6/13/2025 17:04,MILDURA,Harness,6,4,PUNTO CALIENTE,CASH,Fixed Win,TAB,13
6/13/2025 17:02,WARRAGUL,Greyhounds,7,2,FIELD OF ANGELS,CASH,Fixed Win,Betr,5.5
6/13/2025 16:58,NEWCASTLE,Harness,1,7,OZZIE CORKA,CASH,Fixed Win,TAB,4
6/13/2025 16:57,WARRAGUL,Greyhounds,7,2,FIELD OF ANGELS,CASH,Fixed Win,Sportsbet,7
6/13/2025 16:56,WARRAGUL,Greyhounds,7,2,FIELD OF ANGELS,CASH,Fixed Win,PlayUp,7
6/13/2025 16:56,WARRAGUL,Greyhounds,7,2,FIELD OF ANGELS,CASH,Fixed Win,TAB,7
6/13/2025 16:56,NEWCASTLE,Harness,1,6,MEMPHIS FURY,CASH,Fixed Win,PlayUp,13
6/13/2025 16:56,THE GARDENS,Greyhounds,6,4,HARD HEAD RED,CASH,Fixed Win,TAB,11
6/13/2025 16:55,NEWCASTLE,Harness,1,3,HUNGER STRIKE,CASH,Fixed Win,Betr,13
6/13/2025 16:55,THE GARDENS,Greyhounds,6,4,HARD HEAD RED,CASH,Fixed Win,PlayUp,12
6/13/2025 16:54,NEWCASTLE,Harness,1,6,MEMPHIS FURY,CASH,Fixed Win,Sportsbet,15
6/13/2025 16:53,NEWCASTLE,Harness,1,6,MEMPHIS FURY,CASH,Fixed Win,TAB,17
6/13/2025 16:53,NEWCASTLE,Harness,1,6,MEMPHIS FURY,CASH,Fixed Win,BetRight,17
6/13/2025 16:53,NEWCASTLE,Harness,1,3,HUNGER STRIKE,CASH,Fixed Win,TAB,14
6/13/2025 16:44,WARRAGUL,Greyhounds,6,2,PLAY LAB,CASH,Fixed Win,TAB,3.2
6/13/2025 16:43,WAGGA,Harness,8,3,MY ULTIMATE SKEETA,CASH,Fixed Win,TAB,8
6/13/2025 16:43,WAGGA,Harness,8,3,MY ULTIMATE SKEETA,CASH,Fixed Win,PlayUp,8
6/13/2025 16:41,Q1 LAKESIDE,Greyhounds,6,6,SPRING MOLLY,CASH,Fixed Win,Betr,18
6/13/2025 16:41,Q1 LAKESIDE,Greyhounds,6,6,SPRING MOLLY,CASH,Fixed Win,Sportsbet,19
6/13/2025 16:40,Q1 LAKESIDE,Greyhounds,6,6,SPRING MOLLY,CASH,Fixed Win,TAB,21
6/13/2025 16:40,Q1 LAKESIDE,Greyhounds,6,6,SPRING MOLLY,CASH,Fixed Win,PlayUp,31
6/13/2025 16:39,MILDURA,Harness,5,5,ROBERT CROCKA,CASH,Fixed Win,TAB,6.5
6/13/2025 16:39,MILDURA,Harness,5,5,ROBERT CROCKA,CASH,Fixed Win,Sportsbet,7
6/13/2025 16:39,MILDURA,Harness,5,5,ROBERT CROCKA,CASH,Fixed Win,PlayUp,7.5
6/13/2025 16:36,MILDURA,Harness,5,4,STONEBRIDGE STAR,CASH,Fixed Win,PlayUp,7
6/13/2025 16:36,THE GARDENS,Greyhounds,5,7,STRICTLY LIMITED,CASH,Fixed Win,Sportsbet,5.5
6/13/2025 16:36,THE GARDENS,Greyhounds,5,7,STRICTLY LIMITED,CASH,Fixed Win,BetRight,5.75
6/13/2025 16:36,THE GARDENS,Greyhounds,5,7,STRICTLY LIMITED,CASH,Fixed Win,TAB,6
6/13/2025 16:35,MILDURA,Harness,5,3,STEAL SOME TIME,CASH,Fixed Win,TAB,9
6/13/2025 16:35,MILDURA,Harness,5,3,STEAL SOME TIME,CASH,Fixed Win,PlayUp,9
6/13/2025 16:35,MILDURA,Harness,5,3,STEAL SOME TIME,CASH,Fixed Win,Betr,9
6/13/2025 16:34,MILDURA,Harness,5,3,STEAL SOME TIME,CASH,Fixed Win,BetRight,9.5
6/13/2025 16:34,MILDURA,Harness,5,3,STEAL SOME TIME,CASH,Fixed Win,Sportsbet,10
6/13/2025 16:24,MURRAY BRIDGE,Greyhounds,5,1,PAW SHAYNA,CASH,Fixed Win,PlayUp,3.7
6/13/2025 16:24,MURRAY BRIDGE,Greyhounds,5,1,PAW SHAYNA,CASH,Fixed Win,TAB,4.4
6/13/2025 16:23,MURRAY BRIDGE,Greyhounds,5,1,PAW SHAYNA,CASH,Fixed Win,BetRight,3.9
6/13/2025 16:23,MURRAY BRIDGE,Greyhounds,5,2,LALA BUFFY,CASH,Fixed Win,TAB,4
6/13/2025 16:23,MURRAY BRIDGE,Greyhounds,5,2,LALA BUFFY,CASH,Fixed Win,PlayUp,3.8
6/13/2025 16:23,MURRAY BRIDGE,Greyhounds,5,2,LALA BUFFY,CASH,Fixed Win,BetRight,4
6/13/2025 16:23,MURRAY BRIDGE,Greyhounds,5,2,LALA BUFFY,CASH,Fixed Win,Betr,3.9
6/13/2025 16:18,WARRAGUL,Greyhounds,5,4,AUSSIE SUPREME,CASH,Fixed Win,BetRight,21
6/13/2025 16:16,Q1 LAKESIDE,Greyhounds,5,9,NORTH STAR,CASH,Fixed Win,TAB,12
6/13/2025 16:16,Q1 LAKESIDE,Greyhounds,5,4,SPRING TARA,CASH,Fixed Win,Sportsbet,13
6/13/2025 16:15,Q1 LAKESIDE,Greyhounds,5,9,NORTH STAR,CASH,Fixed Win,Sportsbet,13
6/13/2025 16:15,Q1 LAKESIDE,Greyhounds,5,9,NORTH STAR,CASH,Fixed Win,PlayUp,15
6/13/2025 16:15,Q1 LAKESIDE,Greyhounds,5,4,SPRING TARA,CASH,Fixed Win,TAB,17
6/13/2025 16:15,Q1 LAKESIDE,Greyhounds,5,4,SPRING TARA,CASH,Fixed Win,PlayUp,20
6/13/2025 16:15,Q1 LAKESIDE,Greyhounds,5,4,SPRING TARA,CASH,Fixed Win,Betr,17
6/13/2025 16:14,Q1 LAKESIDE,Greyhounds,5,2,SLEEK KARMA,CASH,Fixed Win,TAB,31
6/13/2025 16:14,Q1 LAKESIDE,Greyhounds,5,2,SLEEK KARMA,CASH,Fixed Win,Sportsbet,23
6/13/2025 16:14,Q1 LAKESIDE,Greyhounds,5,2,SLEEK KARMA,CASH,Fixed Win,PlayUp,26
6/13/2025 16:14,Q1 LAKESIDE,Greyhounds,5,2,SLEEK KARMA,CASH,Fixed Win,Betr,23
6/13/2025 16:14,WAGGA,Harness,7,8,JACKS ULTIMATE FURY NZ,CASH,Fixed Win,TAB,1.25
6/13/2025 16:14,WAGGA,Harness,7,8,JACKS ULTIMATE FURY NZ,CASH,Fixed Win,PlayUp,1.24
6/13/2025 16:13,WAGGA,Harness,7,8,JACKS ULTIMATE FURY NZ,CASH,Fixed Win,Betr,1.3
6/13/2025 16:11,THE GARDENS,Greyhounds,4,5,FLYING GODDESS,CASH,Fixed Win,PlayUp,3.9
6/13/2025 16:09,THE GARDENS,Greyhounds,4,7,RAGING SAIGE,CASH,Fixed Win,TAB,3.8
6/13/2025 16:09,THE GARDENS,Greyhounds,4,7,RAGING SAIGE,CASH,Fixed Win,Sportsbet,3.9
6/13/2025 16:07,MURRAY BRIDGE,Greyhounds,4,8,LITTLEFOOT,CASH,Fixed Win,BetRight,4.2
6/13/2025 16:07,MURRAY BRIDGE,Greyhounds,4,3,LADY NOVA,CASH,Fixed Win,TAB,4.4
6/13/2025 16:07,MURRAY BRIDGE,Greyhounds,4,3,LADY NOVA,CASH,Fixed Win,Sportsbet,4.6
6/13/2025 16:07,MURRAY BRIDGE,Greyhounds,4,3,LADY NOVA,CASH,Fixed Win,PlayUp,4.8
6/13/2025 16:07,MURRAY BRIDGE,Greyhounds,4,3,LADY NOVA,CASH,Fixed Win,Betr,4.4
6/13/2025 16:07,MURRAY BRIDGE,Greyhounds,4,8,LITTLEFOOT,CASH,Fixed Win,PlayUp,5
6/13/2025 15:59,MILDURA,Harness,4,5,A ROCKNROLL JET,CASH,Fixed Win,BetRight,26
6/13/2025 15:57,Q1 LAKESIDE,Greyhounds,4,6,REDBACK JACK,CASH,Fixed Win,TAB,15
6/13/2025 15:57,Q1 LAKESIDE,Greyhounds,4,6,REDBACK JACK,CASH,Fixed Win,PlayUp,15
6/13/2025 15:48,MURRAY BRIDGE,Greyhounds,3,2,BUZZ THE HUSTLER,CASH,Fixed Win,TAB,2.5
6/13/2025 15:48,MURRAY BRIDGE,Greyhounds,3,2,BUZZ THE HUSTLER,CASH,Fixed Win,Betr,2.5
6/13/2025 15:47,MURRAY BRIDGE,Greyhounds,3,2,BUZZ THE HUSTLER,CASH,Fixed Win,PlayUp,2.7
6/13/2025 15:47,MURRAY BRIDGE,Greyhounds,3,2,BUZZ THE HUSTLER,CASH,Fixed Win,BetRight,2.6
6/13/2025 15:34,WAGGA,Harness,6,4,OUR REBEL YELL,CASH,Fixed Win,TAB,26
6/13/2025 15:29,GOULBURN,Greyhounds,11,2,FOXTROT ETHICS,CASH,Fixed Win,BetRight,4.6
6/13/2025 15:15,MILDURA,Harness,3,4,SHIREEN,CASH,Fixed Win,Sportsbet,19
6/13/2025 15:15,MILDURA,Harness,3,4,SHIREEN,CASH,Fixed Win,PlayUp,20
6/13/2025 15:15,MILDURA,Harness,3,4,SHIREEN,CASH,Fixed Win,BetRight,19
6/13/2025 15:14,MILDURA,Harness,3,4,SHIREEN,CASH,Fixed Win,TAB,23
6/13/2025 15:14,MILDURA,Harness,3,8,CORZAN DRAMA,CASH,Fixed Win,Betr,6.5
6/13/2025 15:14,MILDURA,Harness,3,8,CORZAN DRAMA,CASH,Fixed Win,BetRight,6.5
6/13/2025 15:14,MILDURA,Harness,3,4,SHIREEN,CASH,Fixed Win,Betr,23
6/13/2025 15:12,MILDURA,Harness,3,1,OUR MASTER PLAY,CASH,Fixed Win,TAB,9
6/13/2025 15:11,MILDURA,Harness,3,1,OUR MASTER PLAY,CASH,Fixed Win,Sportsbet,10
6/13/2025 15:11,MILDURA,Harness,3,1,OUR MASTER PLAY,CASH,Fixed Win,BetRight,9.5
6/13/2025 15:11,MILDURA,Harness,3,1,OUR MASTER PLAY,CASH,Fixed Win,Betr,9
6/13/2025 15:10,TOWNSVILLE,Greyhounds,12,2,ASTON ATKINS,CASH,Fixed Win,Sportsbet,8.5
6/13/2025 15:10,TOWNSVILLE,Greyhounds,12,2,ASTON ATKINS,CASH,Fixed Win,Betr,8.5
6/13/2025 15:10,TOWNSVILLE,Greyhounds,12,2,ASTON ATKINS,CASH,Fixed Win,TAB,8
6/13/2025 15:10,TOWNSVILLE,Greyhounds,12,2,ASTON ATKINS,CASH,Fixed Win,PlayUp,10
6/13/2025 15:04,THE GARDENS,Greyhounds,1,1,RARE OBSIDIAN,CASH,Fixed Win,TAB,1.45
6/13/2025 15:04,THE GARDENS,Greyhounds,1,1,RARE OBSIDIAN,CASH,Fixed Win,Sportsbet,1.5
6/13/2025 15:04,THE GARDENS,Greyhounds,1,1,RARE OBSIDIAN,CASH,Fixed Win,PlayUp,1.45
6/13/2025 15:04,THE GARDENS,Greyhounds,1,1,RARE OBSIDIAN,CASH,Fixed Win,BetRight,1.5
6/13/2025 15:04,THE GARDENS,Greyhounds,1,1,RARE OBSIDIAN,CASH,Fixed Win,Betr,1.45
6/13/2025 14:59,Q1 LAKESIDE,Greyhounds,1,6,CUSTARD,CASH,Fixed Win,TAB,34
6/13/2025 14:59,Q1 LAKESIDE,Greyhounds,1,6,CUSTARD,CASH,Fixed Win,PlayUp,41
6/13/2025 14:59,Q1 LAKESIDE,Greyhounds,1,6,CUSTARD,CASH,Fixed Win,Betr,41
6/13/2025 14:58,Q1 LAKESIDE,Greyhounds,1,4,ZABDON NO DOUBT,CASH,Fixed Win,TAB,21
6/13/2025 14:58,Q1 LAKESIDE,Greyhounds,1,4,ZABDON NO DOUBT,CASH,Fixed Win,Sportsbet,21
6/13/2025 14:58,Q1 LAKESIDE,Greyhounds,1,4,ZABDON NO DOUBT,CASH,Fixed Win,PlayUp,23
6/13/2025 14:58,Q1 LAKESIDE,Greyhounds,1,8,NO STYLIST,CASH,Fixed Win,Betr,21
6/13/2025 14:58,Q1 LAKESIDE,Greyhounds,1,3,LADY SCOTCH,CASH,Fixed Win,Betr,23
6/13/2025 14:58,Q1 LAKESIDE,Greyhounds,1,4,ZABDON NO DOUBT,CASH,Fixed Win,Betr,23
6/13/2025 14:56,TOWNSVILLE,Greyhounds,11,5,GIFTED JASPER,CASH,Fixed Win,BetRight,31
6/13/2025 14:55,TOWNSVILLE,Greyhounds,11,7,MOVE LIGHTLY,CASH,Fixed Win,PlayUp,16
6/13/2025 14:55,TOWNSVILLE,Greyhounds,11,7,MOVE LIGHTLY,CASH,Fixed Win,Betr,15
6/13/2025 14:55,WAGGA,Harness,5,6,VILLAGE AREA,CASH,Fixed Win,TAB,9
6/13/2025 14:55,TOWNSVILLE,Greyhounds,11,7,MOVE LIGHTLY,CASH,Fixed Win,TAB,16
6/13/2025 14:54,WAGGA,Harness,5,6,VILLAGE AREA,CASH,Fixed Win,BetRight,9
6/13/2025 14:50,TOWNSVILLE,Greyhounds,11,3,DRINK TIA,CASH,Fixed Win,TAB,8.5
6/13/2025 14:50,TOWNSVILLE,Greyhounds,11,3,DRINK TIA,CASH,Fixed Win,Sportsbet,15
6/13/2025 14:50,TOWNSVILLE,Greyhounds,11,3,DRINK TIA,CASH,Fixed Win,Betr,13
6/13/2025 14:41,TOWNSVILLE,Greyhounds,10,7,FANCY GIFT,CASH,Fixed Win,TAB,16
6/13/2025 14:41,TOWNSVILLE,Greyhounds,10,7,FANCY GIFT,CASH,Fixed Win,PlayUp,19
6/13/2025 14:40,MILDURA,Harness,2,4,GRENADE,CASH,Fixed Win,TAB,9.5
6/13/2025 14:40,MILDURA,Harness,2,4,GRENADE,CASH,Fixed Win,Sportsbet,9
6/13/2025 14:38,MILDURA,Harness,2,4,GRENADE,CASH,Fixed Win,BetRight,11
6/13/2025 14:36,HEALESVILLE,Greyhounds,12,6,WHAT'S THAT,CASH,Fixed Win,BetRight,19
6/13/2025 13:59,TOWNSVILLE,Greyhounds,8,1,LOTS OF BUGS,CASH,Fixed Win,Tabtouch,1
6/13/2025 13:59,TOWNSVILLE,Greyhounds,8,1,LOTS OF BUGS,CASH,Fixed Win,TAB,4
6/13/2025 13:59,TOWNSVILLE,Greyhounds,8,1,LOTS OF BUGS,CASH,Fixed Win,Sportsbet,4.4
6/13/2025 13:49,HEALESVILLE,Greyhounds,10,2,ONE KNEE NONI,CASH,Fixed Win,BetRight,4
6/13/2025 13:48,HEALESVILLE,Greyhounds,10,8,AUDACIOUS IVY,CASH,Fixed Win,Tabtouch,1
6/13/2025 13:48,HEALESVILLE,Greyhounds,10,8,AUDACIOUS IVY,CASH,Fixed Win,TAB,19
6/13/2025 13:48,HEALESVILLE,Greyhounds,10,8,AUDACIOUS IVY,CASH,Fixed Win,Sportsbet,21
