Time,Venue,Code,RaceNo,RunnerNo,RunnerName,Type,Market,Bookie,Odds,Result
,,,,,,,,,,
6/20/2025 22:16,gloucester park,Harness,6,3,XCITE ME NZ,CASH,Fixed Win,TAB,12,Success
6/20/2025 22:13,parkes,Harness,8,4,FIAMORE,CASH,Fixed Win,Tabtouch,8,Error
6/20/2025 22:13,parkes,Harness,8,4,FIAMORE,CASH,Fixed Win,Betr,8,Error
6/20/2025 22:11,parkes,Harness,8,1,ESTHERS LAST,CASH,Fixed Win,TAB,7.5,Error
6/20/2025 22:11,parkes,Harness,8,1,ESTHERS LAST,CASH,Fixed Win,Sportsbet,8,Error
6/20/2025 22:11,parkes,Harness,8,1,ESTHERS LAST,CASH,Fixed Win,Betr,8.5,Error
6/20/2025 22:09,parkes,Harness,8,2,TURN OUT THE LIGHT,CASH,Fixed Win,Tabtouch,71,Error
6/20/2025 22:09,parkes,Harness,8,2,TURN OUT THE LIGHT,CASH,Fixed Win,Sportsbet,91,Success
6/20/2025 22:09,parkes,Harness,8,2,TURN OUT THE LIGHT,CASH,Fixed Win,Betr,91,Success
6/20/2025 22:08,parkes,Harness,8,2,TURN OUT THE LIGHT,CASH,Fixed Win,BetRight,71,Error
6/20/2025 22:07,melton,Harness,9,8,BONA KHAN,CASH,Fixed Win,TAB,13,Error
6/20/2025 22:05,bendigo,Greyhounds,10,5,TARAWI THERESE,CASH,Fixed Win,Tabtouch,1.8,Error
6/20/2025 22:05,bendigo,Greyhounds,10,5,TARAWI THERESE,CASH,Fixed Win,TAB,1.9,Success
6/20/2025 22:04,melton,Harness,9,8,BONA KHAN,CASH,Fixed Win,Betr,16,Success
6/20/2025 21:59,melton,Harness,9,8,BONA KHAN,CASH,Fixed Win,Tabtouch,17,Success
6/20/2025 21:59,melton,Harness,9,8,BONA KHAN,CASH,Fixed Win,Sportsbet,17,Success
6/20/2025 21:58,newcastle,Harness,10,4,BULL SHARK,CASH,Fixed Win,TAB,10,Error
6/20/2025 21:58,newcastle,Harness,10,4,BULL SHARK,CASH,Fixed Win,Betr,12,Success
6/20/2025 21:57,newcastle,Harness,10,4,BULL SHARK,CASH,Fixed Win,Sportsbet,12,Error
6/20/2025 21:46,gloucester park,Harness,5,6,AARDIEBYTHESEASIDE NZ,CASH,Fixed Win,Tabtouch,2.65,Success
6/20/2025 21:38,richmond,Greyhounds,8,2,WICKED RAVEN,CASH,Fixed Win,Sportsbet,12,Success
6/20/2025 21:38,richmond,Greyhounds,8,2,WICKED RAVEN,CASH,Fixed Win,Betr,12,Success
6/20/2025 21:38,richmond,Greyhounds,8,2,WICKED RAVEN,CASH,Fixed Win,BetRight,9.5,Error
6/20/2025 21:37,parkes,Harness,7,3,CHASIN YOU,CASH,Fixed Win,TAB,7.5,Success
6/20/2025 21:37,parkes,Harness,7,3,CHASIN YOU,CASH,Fixed Win,BetRight,6.75,Error
6/20/2025 21:36,mandurah,Greyhounds,3,3,ZAC'S THUNDER,CASH,Fixed Win,TAB,5,Success
6/20/2025 21:29,melton,Harness,8,7,GIANVITO,CASH,Fixed Win,Tabtouch,2.9,Success
6/20/2025 21:29,melton,Harness,8,4,ALDEBARAN ZENDAYA,CASH,Fixed Win,TAB,12,Error
6/20/2025 21:29,melton,Harness,8,4,ALDEBARAN ZENDAYA,CASH,Fixed Win,BetRight,12,Error
6/20/2025 21:29,melton,Harness,8,7,GIANVITO,CASH,Fixed Win,BetRight,3,Success
